"uuid","age","country","gender","playcount","age_scrobbles","user_type","registered","firstscrobble","lastscrobble"
"41bf523d-e0de-4b9e-b46d-249ce2929edf",25,"US","m",110703,2118,"user",1184465726,1184463764,1367469268
"4f68212e-8457-41a7-b0bb-a1a057c0a1d8",23,"UK","m",27097,1970,"user",1202240458,1218504118,1372449422
"9b86e7fa-4148-4387-9e46-b6a18c418f46",36,"IT","m",85222,2635,"user",1141829002,1141983002,1368813368
"543f7332-40d6-4317-be7a-6ffba8bcfd9b",21,"PL","m",29045,1076,"user",1264628716,1264628988,1357580024
"38ab6524-a75f-46b1-acf0-74d0ae739e5a",44,"JP","m",159655,2549,"user",1159450699,1159520774,1379604168
"44d3bd09-0ba6-426b-8534-bdfc17d3efc5",26,"FI","m",66674,1546,"user",1217161474,1217161777,1353072386
"400580f1-91ce-4d05-bb85-f05b42cd70e8",21,"UK","m",23556,1169,"user",1268613737,1268614400,1369665927
"12099b52-2454-4307-88dd-a54ba34ec727",18,"PL","f",13220,797,"user",1311588401,1311590925,1378222835
"4b27210a-3e92-41eb-b1b1-8eeef697f421",19,"UA","m",23277,1033,"user",1290341721,1324238853,1379628498
"8e2eede3-4197-4203-9329-174400840b09",20,"NL","m",43418,1088,"user",1268687772,1268748565,1362698500
"28150feb-60e0-4f13-850b-1185139f4191",32,"UK","m",90430,3132,"user",1091394231,1108387320,1361980533
"36dcd7bd-860b-407f-8838-ae0916fa6a11",18,"PL","f",81945,1925,"user",1204741645,1208445189,1371063935
"4e890b52-1e19-40bc-927a-e77f36f147ac",20,"SE","m",79358,1752,"user",1204653694,1204654156,1356111349
"61a34234-0565-47e2-98c9-be949493188d",26,"ES","n",221062,1847,"user",1219758404,1219775095,1375958815
"1e485aa8-5c62-41bf-9a8d-ea761e3b2fb9",19,"CL","f",32835,1970,"user",1198613187,1230218110,1366948687
"eba2e239-5df8-41c3-94c9-ffa523d827cb",78,"SG","n",46577,3096,"user",1111321279,1111324725,1378886808
"61e14795-ff34-4f7a-b593-f69b8e207a7e",19,"PL","f",26305,1374,"user",1247063985,1247064493,1365277306
"0b585a37-29e4-4bb0-a707-e03a464119b8",23,"BE","m",52140,1731,"user",1216400639,1365971146,1216408310
"bfb8f19f-fa04-4211-8167-781a72550001",28,"ES","m",142801,3149,"user",1098371824,1200364747,1370458695
"872b45cb-039d-4e99-a317-54d30491acce",24,"US","m",49806,2894,"user",1121876969,1121877442,1371745059
"c7e50cf6-046c-4895-b8e4-3bf6eab783b5",24,"BE","m",26648,1364,"user",1232824424,1232824658,1354274109
"0c015c8d-362e-4213-be47-f1673566a959",21,"BR","f",40463,1082,"user",1263138875,1263219632,1356570839
"5560546e-bf41-4731-870a-cb92dcb187fa",19,"NL","m",12786,1030,"user",1269806778,1269807613,1358285351
"df740722-3c0e-400f-bc0c-c92b3d8323b6",22,"US","f",39243,1028,"user",1291151171,1291153330,1379939555
"21cb7495-8f7f-4958-8060-6c0c5274eed0",28,"US","m",58161,2106,"user",1192048655,1192091096,1373934925
"c5d9caad-b4f3-4c9f-900e-b30849732ae6",28,"CA","m",68970,3087,"user",1102871486,1108341899,1366868534
